epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
41,378.278,1.44071,1.89535,1.9219,0.00612,0.96509,0.53636,0.51974,0.49127,0.30619,0.55281,0.49868,0.48963,0.25169,1.38483,1.87704,1.8991,0.00708,0,0.001736,0.001736,0.001736
42,387.645,1.43038,1.86567,2.41813,0.0091,0.93315,0.53287,0.53289,0.4894,0.30113,0.53536,0.51849,0.49266,0.25845,1.3957,1.84488,1.91579,0.00691,0,0.0017294,0.0017294,0.0017294
43,397.172,1.39228,1.91373,2.10807,0.00817,0.86147,0.5769,0.47902,0.48818,0.2915,0.58007,0.48165,0.48965,0.25592,1.42569,1.86524,1.9752,0.00695,0,0.0017228,0.0017228,0.0017228
44,406.703,1.41031,1.95863,2.10082,0.00783,0.84897,0.55271,0.46974,0.4924,0.28905,0.54643,0.48289,0.49049,0.2512,1.39802,1.88154,1.86136,0.00649,0,0.0017162,0.0017162,0.0017162
45,416.701,1.35513,1.85579,2.11651,0.00727,0.85484,0.53215,0.49342,0.50504,0.30113,0.58726,0.46053,0.50066,0.24608,1.35487,1.89209,1.71013,0.00671,0,0.0017096,0.0017096,0.0017096
46,426.485,1.34561,1.92647,1.99588,0.00717,0.78104,0.57456,0.53947,0.53527,0.32159,0.55811,0.52895,0.52924,0.27498,1.34389,1.83624,1.69431,0.00677,0,0.001703,0.001703,0.001703
47,436.334,1.40103,1.92784,1.87885,0.0073,0.85248,0.56422,0.57632,0.55151,0.32782,0.55893,0.58553,0.55284,0.28653,1.39122,1.78887,1.69968,0.00708,0,0.0016964,0.0016964,0.0016964
48,445.734,1.45479,1.96964,1.98102,0.00757,0.88636,0.5993,0.51842,0.53327,0.32504,0.60483,0.52368,0.53836,0.2718,1.36474,1.81464,1.78691,0.00679,0,0.0016898,0.0016898,0.0016898
49,454.722,1.34166,1.84108,2.11074,0.00909,0.82518,0.53956,0.54582,0.50392,0.31132,0.54147,0.56247,0.51182,0.24743,1.34616,1.81773,1.77742,0.00671,0,0.0016832,0.0016832,0.0016832
50,464.097,1.36982,1.87807,2.0033,0.00844,0.89394,0.52706,0.56053,0.50369,0.31167,0.54406,0.54797,0.50891,0.24533,1.34742,1.81785,1.71817,0.00675,0,0.0016766,0.0016766,0.0016766
51,473.189,1.38304,1.91733,1.79123,0.00709,0.82958,0.52372,0.52954,0.49993,0.30092,0.52388,0.52895,0.49991,0.2504,1.33296,1.8533,1.77477,0.00679,0,0.00167,0.00167,0.00167
52,482.496,1.3087,1.88912,1.68771,0.00691,0.9489,0.5376,0.53847,0.49741,0.30492,0.54573,0.53553,0.50491,0.26021,1.33443,1.85089,1.84278,0.00654,0,0.0016634,0.0016634,0.0016634
53,491.772,1.36728,1.8639,1.96142,0.00841,0.76995,0.5664,0.55173,0.51282,0.31784,0.56718,0.5552,0.51829,0.26663,1.35866,1.81878,1.76822,0.00661,0,0.0016568,0.0016568,0.0016568
54,500.893,1.37042,1.8154,1.73716,0.00769,0.86445,0.54662,0.56711,0.52004,0.32368,0.54442,0.56974,0.52745,0.27062,1.36488,1.82171,1.75581,0.00651,0,0.0016502,0.0016502,0.0016502
55,510.288,1.36209,1.88342,1.7348,0.00697,0.79171,0.5687,0.57427,0.53572,0.33935,0.57128,0.575,0.54612,0.28367,1.30063,1.78195,1.74887,0.00646,0,0.0016436,0.0016436,0.0016436
56,519.505,1.34766,1.83329,1.76765,0.00728,0.82186,0.5792,0.58026,0.5669,0.34913,0.58028,0.57849,0.56797,0.29167,1.32924,1.75165,1.71738,0.00675,0,0.001637,0.001637,0.001637
57,528.255,1.35017,1.73864,1.92308,0.01004,0.75834,0.5792,0.58026,0.5669,0.34913,0.58028,0.57849,0.56797,0.29167,1.32924,1.75165,1.71738,0.00675,0,0.0016304,0.0016304,0.0016304
58,537.785,1.36516,1.87965,1.59552,0.00606,0.82965,0.56966,0.61309,0.57032,0.35171,0.59743,0.59211,0.57164,0.2935,1.29476,1.74947,1.69407,0.00651,0,0.0016238,0.0016238,0.0016238
59,547.014,1.33284,1.7823,1.6674,0.00705,0.8455,0.59086,0.60658,0.57424,0.36049,0.60199,0.60658,0.57391,0.30129,1.32495,1.76093,1.61084,0.00644,0,0.0016172,0.0016172,0.0016172
60,555.869,1.35634,1.74554,1.6972,0.00776,0.75569,0.58933,0.54474,0.55307,0.34371,0.56535,0.58026,0.56134,0.29503,1.36194,1.76466,1.58782,0.00659,0,0.0016106,0.0016106,0.0016106
61,565.003,1.30241,1.83756,1.71686,0.00729,0.86257,0.52795,0.56447,0.53392,0.329,0.5413,0.57237,0.54422,0.2914,1.31438,1.74466,1.63766,0.00638,0,0.001604,0.001604,0.001604
62,574.385,1.32633,1.75201,1.62826,0.00723,0.86226,0.54426,0.56184,0.54761,0.34059,0.54727,0.57102,0.55458,0.29629,1.30074,1.74166,1.66492,0.00633,0,0.0015974,0.0015974,0.0015974
