epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
52,141.313,1.46739,2.06891,2.23164,0.00473,0.7747,0.40346,0.35962,0.34013,0.16245,0.36198,0.30915,0.30365,0.10817,1.85707,2.20187,1.96467,0.00478,0,0.0016634,0.0016634,0.0016634
53,143.801,1.78525,2.24562,2.40434,0.00456,0.81114,0.40346,0.35962,0.34013,0.16245,0.36198,0.30915,0.30365,0.10817,1.85707,2.20187,1.96467,0.00478,0,0.0016568,0.0016568,0.0016568
54,146.616,1.73718,2.13128,1.99508,0.00384,0.88495,0.42915,0.37224,0.3574,0.16698,0.39602,0.32889,0.32293,0.13038,1.83908,2.26264,1.94913,0.00454,0,0.0016502,0.0016502,0.0016502
55,149.431,1.81467,2.20418,1.97885,0.00361,0.84881,0.42915,0.37224,0.3574,0.16698,0.39602,0.32889,0.32293,0.13038,1.83908,2.26264,1.94913,0.00454,0,0.0016436,0.0016436,0.0016436
56,152.065,1.55377,2.13289,2.22396,0.00502,0.88706,0.42915,0.37224,0.3574,0.16698,0.39602,0.32889,0.32293,0.13038,1.83908,2.26264,1.94913,0.00454,0,0.001637,0.001637,0.001637
57,154.834,1.63042,2.02606,1.99508,0.00356,0.91066,0.42915,0.37224,0.3574,0.16698,0.39602,0.32889,0.32293,0.13038,1.83908,2.26264,1.94913,0.00454,0,0.0016304,0.0016304,0.0016304
58,157.618,1.7028,2.02357,2.02242,0.0039,0.8252,0.39242,0.39432,0.36088,0.17523,0.40126,0.33754,0.3105,0.11992,1.7744,2.28934,1.85568,0.00432,0,0.0016238,0.0016238,0.0016238
59,160.025,1.49684,2.16583,2.03463,0.0044,0.74441,0.39242,0.39432,0.36088,0.17523,0.40126,0.33754,0.3105,0.11992,1.7744,2.28934,1.85568,0.00432,0,0.0016172,0.0016172,0.0016172
60,162.929,1.91637,2.45652,2.0845,0.00422,0.80994,0.39242,0.39432,0.36088,0.17523,0.40126,0.33754,0.3105,0.11992,1.7744,2.28934,1.85568,0.00432,0,0.0016106,0.0016106,0.0016106
61,165.626,1.58983,1.97017,2.18042,0.00476,0.7993,0.39242,0.39432,0.36088,0.17523,0.40126,0.33754,0.3105,0.11992,1.7744,2.28934,1.85568,0.00432,0,0.001604,0.001604,0.001604
62,168.097,1.45207,2.00425,2.20801,0.00514,0.72221,0.48476,0.38801,0.39763,0.19835,0.4078,0.31861,0.28644,0.11085,1.76961,2.22766,1.80532,0.00424,0,0.0015974,0.0015974,0.0015974
63,170.76,1.69626,2.06479,1.97001,0.00411,0.82867,0.48476,0.38801,0.39763,0.19835,0.4078,0.31861,0.28644,0.11085,1.76961,2.22766,1.80532,0.00424,0,0.0015908,0.0015908,0.0015908
64,173.61,1.8043,1.9728,1.69773,0.00334,0.82922,0.48476,0.38801,0.39763,0.19835,0.4078,0.31861,0.28644,0.11085,1.76961,2.22766,1.80532,0.00424,0,0.0015842,0.0015842,0.0015842
65,176.263,1.54388,1.96308,2.01765,0.00446,0.81945,0.48476,0.38801,0.39763,0.19835,0.4078,0.31861,0.28644,0.11085,1.76961,2.22766,1.80532,0.00424,0,0.0015776,0.0015776,0.0015776
66,179.134,1.70062,2.22935,1.94401,0.00376,0.80664,0.43337,0.44635,0.39843,0.20339,0.34782,0.36508,0.27516,0.11199,1.7638,2.14036,1.81479,0.0042,0,0.001571,0.001571,0.001571
67,181.975,1.61157,1.96671,1.92494,0.00408,0.83882,0.43337,0.44635,0.39843,0.20339,0.34782,0.36508,0.27516,0.11199,1.7638,2.14036,1.81479,0.0042,0,0.0015644,0.0015644,0.0015644
68,184.683,1.66661,2.14606,1.91985,0.00427,0.77087,0.43337,0.44635,0.39843,0.20339,0.34782,0.36508,0.27516,0.11199,1.7638,2.14036,1.81479,0.0042,0,0.0015578,0.0015578,0.0015578
69,187.6,1.59083,2.0264,1.6542,0.0032,0.68746,0.43337,0.44635,0.39843,0.20339,0.34782,0.36508,0.27516,0.11199,1.7638,2.14036,1.81479,0.0042,0,0.0015512,0.0015512,0.0015512
70,190.411,1.72079,1.95952,1.79532,0.0039,0.70427,0.50111,0.42459,0.41817,0.20893,0.4502,0.36278,0.34717,0.13954,1.80698,2.11039,1.81825,0.00477,0,0.0015446,0.0015446,0.0015446
71,193.206,1.47498,1.90636,1.97734,0.00461,0.81327,0.50111,0.42459,0.41817,0.20893,0.4502,0.36278,0.34717,0.13954,1.80698,2.11039,1.81825,0.00477,0,0.001538,0.001538,0.001538
72,195.992,1.83656,2.20307,1.68372,0.00372,0.76773,0.50111,0.42459,0.41817,0.20893,0.4502,0.36278,0.34717,0.13954,1.80698,2.11039,1.81825,0.00477,0,0.0015314,0.0015314,0.0015314
73,198.759,1.66732,2.31122,1.99068,0.00416,0.7091,0.50111,0.42459,0.41817,0.20893,0.4502,0.36278,0.34717,0.13954,1.80698,2.11039,1.81825,0.00477,0,0.0015248,0.0015248,0.0015248
